PredictiveFeature,TargetFeature,SHAPValue
ABLIM1,XPO1,0.0011232516379619
TCOF1,XPO1,0.0077137902474626
AHNAK2,ELAC2,0.0034711370183083
GPATCH8,ELAC2,0.0064693192233751
MDC1,ELAC2,0.0084621657602027
KMT2D,ELAC2,0.0105152594723376
CLASP1,ELAC2,0.0082389533064811
SRRM2,ELAC2,0.0119919803320485
PRRC2C,ELAC2,0.0093316473544916
NCOR2,ELAC2,0.0088403184159566
NUMA1,ELAC2,0.0312742078350021
LRRFIP2,TMX1,0.0086722210137538
EIF4G1,TMX1,0.0175763090026189
PCBP1,TMX1,0.0469611304825787
MED1,TMX1,0.0052323372446954
APC,TMX1,0.0124376819915226
PHACTR4,TMX1,0.0153667632203537
AFF4,TMX1,0.0281629894511683
PHIP,TMX1,0.0345621803286911
TCOF1,CHD2,0.0051461049740752
AHNAK2,CHD2,0.016407293479394
NACA,CHD2,0.0001759977245173
MDC1,CHD2,0.0026708292003946
KMT2D,CHD2,0.0270991442216029
SRRM2,CHD2,0.0070279370743924
PLEKHA6,CHD2,0.0140138035328604
NUMA1,CHD2,0.0058235911989855
CHD1,PTOV1,0.0011289836724567
MAST2,PTOV1,0.0018361275725873
SMARCC2,PTOV1,0.0335994504550404
YEATS2,PTOV1,0.0128768673736933
MED1,PTOV1,0.0128252482170624
SEC16A,PTOV1,0.0087131864172417
PCNT,PTOV1,0.0029646318801822
HNRNPC,PTOV1,0.0056979074748747
RAB11FIP1,PTOV1,0.007893150755789
KAT6B,PTOV1,0.0041745603589603
HUWE1,CHEK1,0.0142164339046474
TCOF1,CHEK1,0.0031820616591423
AHNAK2,CHEK1,0.0036253522830121
ADAR,CHEK1,0.0180374083265258
MDC1,CHEK1,0.0125118804423072
KMT2D,CHEK1,0.0209710682750034
GPATCH8,CHEK1,0.0032104992873078
IRS2,CHEK1,0.0029728801723669
NCOR2,CHEK1,0.017191594404041
SRRM2,CHEK1,0.0080841257204109
KMT2D,BRAP,0.0216074394201571
EIF4G1,BRAP,0.0214090338492487
NES,BRAP,0.0061738301663971
TCOF1,BRAP,0.018713122768443
IRS2,BRAP,0.0245457218314411
NELFE,BRAP,0.013299119125227
SRRM2,BRAP,0.0092836844720005
PLEKHA6,BRAP,0.0253890060452062
SYNPO2L,RNASEH2A,0.0042027512499245
NEB,RNASEH2A,0.0008001846390539
SORBS2,RNASEH2A,0.0086632621658798
F11R,RNASEH2A,0.0062886045945268
ADAR,RNASEH2A,0.0246470734343178
SHANK3,RNASEH2A,0.0012699818604675
PCLO,RNASEH2A,0.003067911026901
ATXN2L,RNASEH2A,0.0081437593101057
PRRC2C,RNASEH2A,0.0025507830460993
ZMYND8,MYH7,0.0056084066800186
SRRM2,MYH7,0.0011253089672198
LMO7,MYH7,0.0175292240611745
PKP4,MYH7,0.0028014172805384
TEX2,MYH7,0.00410570916452
KIDINS220,MYH7,0.0397457298376839
CDK13,MYH7,0.0419670577359004
ITSN2,MYH7,0.0162881171239906
SYNRG,MYH7,0.0127980884519982
MYH2,EDC3,0.0064125998027428
PLEKHA6,EDC3,0.0083309221537104
SRRM2,EDC3,0.018626298742316
IRS2,EDC3,0.005340841846176
EIF4B,EDC3,0.0157432463729733
MAP1S,EDC3,0.0084146022357491
NCL,EDC3,0.0970322015301455
NUP214,EDC3,0.0035213460761656
PHRF1,EDC3,0.0089483204795701
USP24,EDC3,0.028872247937395
PLEC,MTOR,0.0191554369935401
SRRM2,MTOR,0.0197837433341774
IRS2,MTOR,0.0194962572257473
PLEKHA6,MTOR,0.0125413327612262
NES,MTOR,0.0217113238815946
MAP4,MTOR,0.0096564250166333
NUP214,MTOR,0.0101101648962746
TJP1,MTOR,0.0086597270788638
PHLDB1,MTOR,0.006795303281058
GYS1,DUSP16,0.0036937490805683
XIRP1,DUSP16,0.0066981508373304
USP24,DUSP16,0.0014096448028478
ABLIM1,DUSP16,0.0120059125060622
THRAP3,DUSP16,0.0302141897868129
NUP214,DUSP16,0.0120238097139722
PPIG,DUSP16,0.006914076965565
ADGRE5,DUSP16,0.002582540805056
GPATCH8,NFIX,0.0141163913419847
PRRC2A,NFIX,0.006747456764318
WASHC2A,NFIX,0.0065339943697403
SRRM2,NFIX,0.0014375416899987
EIF4B,NFIX,0.000977408812498
PLEC,NFIX,0.0537150031180637
NHSL3,NFIX,0.0009191548396459
ABLIM1,NFIX,0.0105816976040634
CDC42BPA,NFIX,0.0026274370519821
NCL,NFIX,0.0016416812316314
ZNF185,FBP2,0.0043814629275749
NCOR1,FBP2,0.0012621812138709
LMO7,FBP2,0.0059745259188105
SRRM2,FBP2,0.0011640239262597
SEPTIN2,FBP2,0.0043828120342049
ZC3H14,FBP2,0.0065299218396874
KIF13B,FBP2,0.0054056774518486
NCL,FBP2,0.0053280603487765
GPATCH8,FBP2,0.008169700786271
AHNAK2,DDB2,0.0048441325874405
PLEC,DDB2,0.0118418798504463
KMT2D,DDB2,0.0125475136978277
HUWE1,DDB2,0.0045787245075451
