Feature,TargetFeature,SHAPValue,LogSHAPValue
PLEKHA6,FRA10AC1,0.0299994997124672,-3.5065745737101253
MAP1S,FRA10AC1,0.0079639913049566,-4.832824984574279
KMT2D,FRA10AC1,0.0172473266306659,-4.0600981254475
TTN,REV3L,0.0035173505497262,-5.650047257518383
MAP1S,REV3L,0.0195067549216167,-3.93699446716047
ABLIM1,REV3L,0.0063102332764588,-5.065582633784503
BRD8,REV3L,0.0223849065644732,-3.7993683613219
BAG3,REV3L,0.0039504300062742,-5.533930843646283
CALD1,REV3L,0.0030945790412588,-5.77810339461347
NACA,REV3L,0.0020767666873655,-6.176943071950303
SCAF11,REV3L,0.0036227090723549,-5.6205331704990895
CEP170B,REV3L,0.0079753708176853,-4.8313971338768065
NELFA,REV3L,0.0011238681774082,-6.790978814274404
TEX2,SLC25A12,0.0070876876791785,-4.9493961299714915
NCOR1,SLC25A12,0.000902891418416,-7.0099082571638345
SRRM2,SLC25A12,0.0062908922736502,-5.068652362424153
LMO7,SLC25A12,0.0076839036776294,-4.868627569600856
RAI14,SLC25A12,0.011621626564984,-4.454887557579755
KMT2D,SLC25A12,0.0024251937365654,-6.021843866416661
TANC2,SLC25A12,0.0156416951147122,-4.157815166444398
SCAF11,SLC25A12,0.0015063558417943,-6.498061894782865
PI4KA,SLC25A12,0.0090684882756244,-4.702949701775868
TJP1,SLC25A12,0.079077818154905,-2.5373228714130858
BRD8,MICALL2,0.0075156690914995,-4.890765225608832
ABLIM1,MICALL2,0.0075083057196355,-4.891745441902608
BAG3,MICALL2,0.0103069579795807,-4.574936079817455
PPIG,MICALL2,0.0005558165208777,-7.495072316596556
NACA,MICALL2,0.0065305378645552,-5.031265970853837
PLEKHO2,MICALL2,0.0026258924761416,-5.942334449811277
GPATCH8,AEBP2,0.0032755054077073,-5.721283098837424
CLASP1,AEBP2,0.0066117762987312,-5.018902932213481
LARP1,AEBP2,0.0091562659962066,-4.693316825740346
NELFE,AEBP2,0.0034907673804248,-5.657633687159937
MAP1S,AEBP2,0.0873644605306606,-2.4376667091010535
EIF4B,AEBP2,0.0131517675146937,-4.331199117627036
IRS2,AEBP2,0.0055499869837503,-5.19395969649676
NEB,STIM2,0.0172016710042288,-4.062748748472971
MYPN,STIM2,0.0062413849758421,-5.07655316997159
RPP25,STIM2,0.0046032250430019,-5.38099812483553
HUWE1,RBL2,0.0123348217891397,-4.3953289766820225
PRRC2A,RBL2,0.0276469607813792,-3.58823947454597
SRRM2,RBL2,0.013939413529073,-4.273034945619923
NUMA1,RBL2,0.0060116817611152,-5.1140507424387005
PLEKHA6,RBL2,0.0412998476691659,-3.186896467419872
NHSL3,RBL2,0.0062315965652939,-5.078122708501789
RASAL2,RBL2,0.0136088047915286,-4.297038284578507
CKM,RBL2,0.0123873276002204,-4.391081296660382
TRIM28,RBL2,0.0162471255997037,-4.119839272024675
MDC1,TNKS1BP1,0.0015462962127427,-6.471892747724264
PLEC,TNKS1BP1,0.0153552273163139,-4.176299321140715
NES,TNKS1BP1,0.0213134181648396,-3.8484184438181708
ABLIM1,TNKS1BP1,0.0071004996786705,-4.947590120133697
RIF1,TNKS1BP1,0.0012983129175636,-6.6466896130491655
PPIG,TNKS1BP1,0.0020400791132586,-6.194766690868859
NCL,TNKS1BP1,0.0009389340774735,-6.970765286254046
USP24,TNKS1BP1,0.0550054900325847,-2.9003222799569612
MED1,TNKS1BP1,0.0249079887351646,-3.6925666942297584
AHNAK2,HADHA,0.012185010537526,-4.40754872711043
SRRM2,HADHA,0.0054700039550934,-5.208475939496699
PLEC,HADHA,0.0171158833987761,-4.067748392861609
PLEKHA6,HADHA,0.0267549021094084,-3.621037566003047
KMT2D,HADHA,0.0047897855448686,-5.341269639987763
NCOR2,HADHA,0.0157270474745876,-4.152373279810361
EIF4B,HADHA,0.0111735002855478,-4.494210350124027
NUP214,HADHA,0.006325794724602,-5.0631196041032025
RIF1,HADHA,0.0048980172583624,-5.318924796905408
PPIG,HADHA,0.0119970788525852,-4.423092087779007
LMO7,MINK1,0.0042903093728879,-5.451396433750081
TCOF1,MINK1,0.0216306651893583,-3.8336432863990377
AHNAK2,MINK1,0.0245419133313894,-3.707372874874429
CLASP1,MINK1,0.0031927459737444,-5.746873925650666
NHSL3,MINK1,0.0092381008327178,-4.684418952038942
KMT2D,MINK1,0.0110771320247804,-4.502872473697353
NUMA1,MINK1,0.0072444085900865,-4.927525336619185
NCOR2,MINK1,0.0047034003303258,-5.359469557310265
PRRC2C,MINK1,0.0154949298227584,-4.167242416777632
CDK11A,PPM1D,0.0026663477820049,-5.927045614869041
WASHC2A,PPM1D,0.0009057342962592,-7.0067645661708
HUWE1,PPM1D,0.0006497574026384,-7.338911491451168
LMO7,PPM1D,0.0075353639752015,-4.888148143464933
PLEKHA6,PPM1D,0.0010096485337558,-6.898152995070675
TCOF1,PPM1D,0.0005302969681977,-7.542073390983111
ABLIM1,PPM1D,0.02241525457604,-3.798013544042843
MAP1S,PPM1D,0.0101738424946647,-4.5879353138627215
