Feature,TargetFeature,FisherScore,MedianCoeff,MeanR2,MeanMSE,Coeff*R2
BRAF,NFAT5,22.50488214664934,-0.1728876925177737,0.4184873460323241,0.0216847600290219,-0.0723513116034156
SOS1,NIBAN2,18.28781734528201,0.0794376919291267,0.601301651537434,0.0373826271168337,0.0477660153513058
SOS1,OSBP,2.5251559411076285,-0.2664971200889405,0.4647507605779729,0.0304620880892552,-0.1238547392531745
SOS1,PAK2,3.55741825347798,-0.0144985999065254,0.5011422795629509,0.0339776028966172,-0.0072658614076273
SOS1,PARN,19.93242335142827,-0.0721095206371643,0.7388387326768523,0.0243884071102738,-0.0532773068414978
SOS1,PCBP1,5.033811941636335,-0.2254400488758736,0.3853729437187817,0.044987170763569,-0.0868784952674014
ERBB2,PER2,23.30249043673969,0.0334638640448141,0.0296164967866,0.0260310331402512,0.0009910824219504
SOS1,PITPNB,25.916297921345112,-0.1231358414008307,0.3055564969765778,0.040570820582129,-0.0376249563507012
BRAF,PLD1,13.56695432987088,-0.1506645229284769,0.4860104464306993,0.0157762066381954,-0.0732245320497374
SOS1,PNN,3.7697710641380615,-0.2613775170272149,0.5280671198408365,0.0318184128725479,-0.1380248726077106
SOS1,POLR2A,3.253974625611897,0.0974402231607014,0.4269385435363538,0.0386762710950328,0.0416009869580871
BRAF,POLR2M,23.4844769753498,-0.2632890498304119,0.2717712815153267,0.0277187190803488,-0.0715544024813637
ELK1,PPAN,25.952362553303782,-0.2216506590407066,0.6914056939687869,0.0292767848624532,-0.1532505277326787
GAB1,PPIL4,3.6304807751869546,0.0136263092019585,0.4735855433940727,0.0250666420082332,0.0064532230478652
BRAF,PRKAB1,7.096956553918403,-0.1407329374953619,0.5393084153954479,0.0388413324260026,-0.0758984575145702
SOS1,PRKAB1,13.927948797009073,-0.2902844358367944,0.5393084153954479,0.0388413324260026,-0.1565528391051031
SOS1,PRP4K,2.6331899498477305,-0.1322103347476392,0.4438736104495069,0.0321641014295617,-0.0586846786231725
BRAF,PYCR1,18.17240547556132,-0.0499509842578944,0.2897090826340435,0.020019771137478,-0.0144712538260221
ABLIM1,RAF1,3.905317533414417,-0.0412656176869623,0.722767693124929,0.0197613875227427,-0.029825455300981
ADAR,RAF1,6.08761404774117,-0.17394237310347,0.722767693124929,0.0197613875227427,-0.1257199277446707
ADNP,RAF1,4.872112421879442,0.1167962357704179,0.722767693124929,0.0197613875227427,0.0844165458934603
AHNAK2,RAF1,6.48877302117998,0.0337370476981258,0.722767693124929,0.0197613875227427,0.0243840481376201
AKAP9,RAF1,4.111208245928382,0.0683893521410662,0.722767693124929,0.0197613875227427,0.0494296142813068
ATXN2L,RAF1,4.28561203376515,-0.0402016638957285,0.722767693124929,0.0197613875227427,-0.0290564638736994
ATXN2,RAF1,7.5343132360179315,-0.1457914353090615,0.722767693124929,0.0197613875227427,-0.1053733393757027
BAZ2A,RAF1,8.41910946452725,0.2671083404109369,0.722767693124929,0.0197613875227427,0.1930572790132411
BCLAF1,RAF1,8.01373814976168,0.2311085084488626,0.722767693124929,0.0197613875227427,0.1670377635131275
CDC42BPA,RAF1,4.028683893521024,-0.1133928764469549,0.722767693124929,0.0197613875227427,-0.0819567077263657
CDK12,RAF1,7.889674068305676,0.020175804985849,0.722767693124929,0.0197613875227427,0.0145824200265605
CLASP1,RAF1,5.083183204399929,-0.0384318963950675,0.722767693124929,0.0197613875227427,-0.0277773330998792
CTNND1,RAF1,3.847265156982759,-0.4531840496934361,0.722767693124929,0.0197613875227427,-0.327546790157938
DENND4A,RAF1,5.690683002462754,0.2420323194938844,0.722767693124929,0.0197613875227427,0.1749331412222706
EDC4,RAF1,3.745082024349602,0.2299974664376981,0.722767693124929,0.0197613875227427,0.1662347382417533
EIF4ENIF1,RAF1,4.734367114066483,0.0215274611605148,0.722767693124929,0.0197613875227427,0.0155593534418218
EML4,RAF1,4.991871782023281,0.1428198432829161,0.722767693124929,0.0197613875227427,0.1032255686620571
EPRS1,RAF1,5.184613472644211,-0.0305936407572753,0.722767693124929,0.0197613875227427,-0.0221120951544286
FARP1,RAF1,4.004912915587462,0.462372813340797,0.722767693124929,0.0197613875227427,0.3341881316620113
FASTKD2,RAF1,6.744977920887996,-0.0452919057172141,0.722767693124929,0.0197613875227427,-0.0327355262124626
FKBP15,RAF1,6.460985464803718,0.1941582739092428,0.722767693124929,0.0197613875227427,0.1403313277345015
GPATCH8,RAF1,5.658833644698972,0.191177924520545,0.722767693124929,0.0197613875227427,0.1381772274821261
HNRNPM,RAF1,5.009868026072232,-0.1401109309115583,0.722767693124929,0.0197613875227427,-0.1012676543165332
HUWE1,RAF1,8.29603485372438,0.4168732972099535,0.722767693124929,0.0197613875227427,0.3013025513498209
IRS2,RAF1,4.915465962655507,0.0512384507955216,0.722767693124929,0.0197613875227427,0.0370334968807743
ITPRID2,RAF1,3.795644706625205,-0.0009669741868128,0.722767693124929,0.0197613875227427,-0.0006988977023141
KMT2A,RAF1,9.309105572685867,0.29305911763652,0.722767693124929,0.0197613875227427,0.2118136624033747
KMT2D,RAF1,5.542122872905448,-0.0737945223212807,0.722767693124929,0.0197613875227427,-0.0533362966634081
LARP1,RAF1,4.591152400583408,0.3236351944678036,0.722767693124929,0.0197613875227427,0.2339130629195321
LMO7,RAF1,11.888331280449073,0.1957272315700335,0.722767693124929,0.0197613875227427,0.1414653196436018
LRRFIP2,RAF1,4.63441218117254,-0.1381693529110495,0.722767693124929,0.0197613875227427,-0.0998643444640834
MDC1,RAF1,5.55299967043537,-0.0786299743558452,0.722767693124929,0.0197613875227427,-0.0568312051756465
MKI67,RAF1,7.040518024272503,-0.3121166531501835,0.722767693124929,0.0197613875227427,-0.2255878333832317
MYCBP2,RAF1,6.683909461059059,-0.2145433321222738,0.722767693124929,0.0197613875227427,-0.1550649892333513
NCOR1,RAF1,10.37236762161618,-0.2478147487877647,0.722767693124929,0.0197613875227427,-0.1791124943036665
NCOR2,RAF1,4.937856007286476,0.2205667791802929,0.722767693124929,0.0197613875227427,0.1594185421681359
NELFE,RAF1,4.842327005837191,-0.2117591577974961,0.722767693124929,0.0197613875227427,-0.153052677979374
NHSL3,RAF1,3.784877470763611,0.0322320369088514,0.722767693124929,0.0197613875227427,0.0232962749613281
NIPBL,RAF1,4.067506141540235,-0.0647412104034712,0.722767693124929,0.0197613875227427,-0.0467928552934326
NUMA1,RAF1,4.380035906314795,-0.0251391104026471,0.722767693124929,0.0197613875227427,-0.0181697368329341
NUP214,RAF1,3.8493682840926335,0.3746097919579684,0.722767693124929,0.0197613875227427,0.2707558551554704
PLEC,RAF1,5.216843004446161,0.4042705539915938,0.722767693124929,0.0197613875227427,0.2921936957068413
PLEKHA6,RAF1,4.884160981084476,-0.1174715257591759,0.722767693124929,0.0197613875227427,-0.0849046236808252
PRRC2A,RAF1,5.801502393699446,0.1678836282871638,0.722767693124929,0.0197613875227427,0.1213408627305565
PRRC2C,RAF1,4.982875279586671,-0.0495834262393002,0.722767693124929,0.0197613875227427,-0.0358372986002091
SIPA1L1,RAF1,8.078707036322465,-0.2410636469266695,0.722767693124929,0.0197613875227427,-0.1742330159854713
SPEN,RAF1,7.535204346520162,-0.0732072156086967,0.722767693124929,0.0197613875227427,-0.052911810345597
SRRM2,RAF1,5.131785503819166,0.4307644701062409,0.722767693124929,0.0197613875227427,0.3113426423388701
SVIL,RAF1,4.4871901365251,-0.0563390629985635,0.722767693124929,0.0197613875227427,-0.0407200545962918
TCOF1,RAF1,7.76005974510243,0.2474070532934949,0.722767693124929,0.0197613875227427,0.1788178251717756
ERBB2,RASAL3,46.13736862307916,-0.1407662421748344,0.2096642769791445,0.0403151057274092,-0.0295136523886578
ACTN2,RPS6KA1,14.874249044141996,-0.0970427247390212,0.471820697791716,0.0306474342248555,-0.0457867661019744
ADNP,RPS6KA1,7.344703545970334,-0.2147985184037381,0.471820697791716,0.0306474342248555,-0.1013463868378784
AHNAK2,RPS6KA1,7.4726468080928,0.3847651068004232,0.471820697791716,0.0306474342248555,0.1815401411764798
ALPK3,RPS6KA1,7.488291698805058,0.194865239927696,0.471820697791716,0.0306474342248555,0.0919414534780356
ATXN2,RPS6KA1,13.687889431548458,0.0956967939684615,0.471820697791716,0.0306474342248555,0.0451517281066296
BAZ2A,RPS6KA1,8.992314117723241,-0.1275241274677835,0.471820697791716,0.0306474342248555,-0.0601685228071293
BCLAF1,RPS6KA1,7.842307694192042,0.0385414115570127,0.471820697791716,0.0306474342248555,0.0181846356947074
CAMK2B,RPS6KA1,9.216907258172808,0.2113931955236942,0.471820697791716,0.0306474342248555,0.09973968502041
CEFIP,RPS6KA1,30.14222458014788,-0.0443880025486151,0.471820697791716,0.0306474342248555,-0.020943178336068
