PredictiveFeature,TargetFeature,FisherScore,MedianCoeff,MeanR2,MeanMSE,Coeff*R2
CHD4,IRS1,1.710668699667918,-0.1714881603637982,0.5140606195831684,0.0299562292164681,-0.0881553099677918
CLASP1,IRS1,3.462004235118924,0.0413341380152893,0.5140606195831684,0.0299562292164681,0.0212482525980758
DPYSL2,IRS1,1.4095902177070314,-0.0118054823374456,0.5140606195831684,0.0299562292164681,-0.0060687335648654
EIF3A,IRS1,1.5454533573803024,0.1511685738763768,0.5140606195831684,0.0299562292164681,0.0777098107483942
EIF4B,IRS1,3.053188525322108,0.0385386958959582,0.5140606195831684,0.0299562292164681,0.0198112258902036
EIF4B,IRS1,2.154694803248647,-0.4174904405202709,0.5140606195831684,0.0299562292164681,-0.2146153945239004
GPATCH8,IRS1,4.936836916084686,-0.0236393874505464,0.5140606195831684,0.0299562292164681,-0.0121520781593944
HDGFL2,IRS1,1.4458073879260906,0.1738330050468819,0.5140606195831684,0.0299562292164681,0.0893607022784041
HUWE1,IRS1,7.713607595311501,-0.3602097494126471,0.5140606195831684,0.0299562292164681,-0.1851696469629632
IRS2,IRS1,2.949755236703947,0.0090018580576321,0.5140606195831684,0.0299562292164681,0.0046275007305061
KMT2D,IRS1,3.4449749407195736,-0.1517065179654786,0.5140606195831684,0.0299562292164681,-0.077986346620139
KRT18,IRS1,1.4581177322133516,0.2120458605781295,0.5140606195831684,0.0299562292164681,0.1090044264688394
LMNA,IRS1,1.6431939564415892,0.0291592783724295,0.5140606195831684,0.0299562292164681,0.0149896367067291
LMO7,IRS1,7.71290220334197,-0.0917078486266642,0.5140606195831684,0.0299562292164681,-0.0471433934856624
MAP1B,IRS1,1.5222764897322243,0.1732688659481034,0.5140606195831684,0.0299562292164681,0.0890707005837549
MAP1S,IRS1,3.0383636679466512,0.0397504037191678,0.5140606195831684,0.0299562292164681,0.0204341171645564
MAP4,IRS1,1.878544363278585,-0.0023630336570878,0.5140606195831684,0.0299562292164681,-0.0012147425458584
MAP7,IRS1,1.4170029961382051,0.0446165002652221,0.5140606195831684,0.0299562292164681,0.0229355857699726
MAST4,IRS1,1.8175238610129032,-0.1498880450859436,0.5140606195831684,0.0299562292164681,-0.07705154132499
MDC1,IRS1,3.987765230140669,-0.0683034206340403,0.5140606195831684,0.0299562292164681,-0.0351120987307845
MIA2,IRS1,1.717475982390066,0.0177496763997287,0.5140606195831684,0.0299562292164681,0.0091244096474453
MINK1,IRS1,1.6555335308232848,0.0907430203919941,0.5140606195831684,0.0299562292164681,0.0466474132855565
MYH3,IRS1,3.922489198835392,-0.0816622486950073,0.5140606195831684,0.0299562292164681,-0.0419793461607102
MYO9B,IRS1,1.6411775867087135,-0.2070445496200571,0.5140606195831684,0.0299562292164681,-0.1064334494590046
NCL,IRS1,2.45052340346376,-0.2764253766993761,0.5140606195831684,0.0299562292164681,-0.142099400414592
NCOR2,IRS1,2.676417266235008,-0.0970523213345007,0.5140606195831684,0.0299562292164681,-0.0498907764371982
NELFA,IRS1,1.434229304056735,0.067423268646905,0.5140606195831684,0.0299562292164681,0.0346596472549504
NES,IRS1,2.387157611917965,0.0592883702238954,0.5140606195831684,0.0299562292164681,0.0304778163313719
NHSL3,IRS1,2.484680733261807,0.2811700307731203,0.5140606195831684,0.0299562292164681,0.1445384402274487
NOLC1,IRS1,1.7047619100339175,0.112489377089542,0.5140606195831684,0.0299562292164681,0.0578263588831746
NUMA1,IRS1,2.933785279029137,0.0859250549059838,0.5140606195831684,0.0299562292164681,0.0441706869626878
NUP214,IRS1,2.353590192257808,-0.0549635662235657,0.5140606195831684,0.0299562292164681,-0.0282546049073866
PARN,IRS1,1.674891168676472,-0.230245672310223,0.5140606195831684,0.0299562292164681,-0.1183602329641364
PCBP1,IRS1,2.521172176079644,-0.2111717644152478,0.5140606195831684,0.0299562292164681,-0.1085550880537731
PCBP2,IRS1,2.386556665018425,0.0193989054848964,0.5140606195831684,0.0299562292164681,0.0099722133728011
PHKA1,IRS1,1.4845899712116917,0.2657199034163449,0.5140606195831684,0.0299562292164681,0.1365961381857859
PHLDB1,IRS1,1.944928985524429,-0.019716583104821,0.5140606195831684,0.0299562292164681,-0.0101355189269273
PHRF1,IRS1,2.13243109564973,0.0138188704177461,0.5140606195831684,0.0299562292164681,0.0071037370888861
